# t x1 y1 x2 y2 error_x error_y
206.2800000000 20.2252999005 4.3434413542 20.2253000098 4.3434413574 0.0000001093 0.0000000032
206.2900000000 20.3400209477 4.3443620699 20.3400210574 4.3443620735 0.0000001097 0.0000000036
206.3000000000 20.4553700444 4.3456578931 20.4553701546 4.3456578970 0.0000001102 0.0000000039
206.3100000000 20.5713427552 4.3473311999 20.5713428658 4.3473312042 0.0000001106 0.0000000043
206.3200000000 20.6879344358 4.3493844527 20.6879345468 4.3493844574 0.0000001110 0.0000000046
206.3300000000 20.8051402274 4.3518202017 20.8051403388 4.3518202067 0.0000001114 0.0000000050
206.3400000000 20.9229550512 4.3546410856 20.9229551630 4.3546410910 0.0000001118 0.0000000054
206.3500000000 21.0413736027 4.3578498335 21.0413737150 4.3578498392 0.0000001122 0.0000000057
206.3600000000 21.1603903459 4.3614492658 21.1603904586 4.3614492719 0.0000001126 0.0000000061
206.3700000000 21.2799995072 4.3654422956 21.2799996202 4.3654423020 0.0000001130 0.0000000065
206.3800000000 21.4001950695 4.3698319299 21.4001951829 4.3698319368 0.0000001134 0.0000000068
